"USERID"	"ITEM_ID"	"ITEM_NUM"	"SCORE"	"RANK"	"TIMESTAMP"	"MODEL"	"PARAMETERS"	"REC_BATCH_ID"
2527	104119	928	5.0018038750000002	6		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3431	104119	928	4.6855154040000002	6		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3524	104119	928	4.7144479749999997	6		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3761	104119	928	3.8680458070000001	6		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
4928	104119	928	4.9735364909999999	6		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
4979	104119	928	4.1589679720000001	6		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3406	104119	928	4.7769856449999999	7		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3749	104119	928	4.5689725880000003	7		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
4963	104119	928	5.054006577	7		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2775	104119	928	4.5494060520000001	8		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3183	104119	928	4.5714449879999997	8		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3493	104119	928	4.010976791	8		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3542	104119	928	4.4496335980000001	8		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3754	104119	928	4.672661304	8		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
4916	104119	928	3.9076223369999998	8		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
4933	104119	928	4.3065466880000001	8		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2927	104119	928	4.2210030559999998	9		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3055	104119	928	4.7054715160000002	9		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3163	105250	1173	4.8263788219999997	4		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3394	105250	1173	4.7373156549999997	4		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2634	105250	1173	4.422350883	6		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2901	105250	1173	4.6786527629999997	6		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3278	105250	1173	4.6576671599999999	7		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3403	105250	1173	4.6415500639999996	7		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3750	105250	1173	4.3060708050000001	7		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2622	105250	1173	4.4067940710000002	8		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2773	105250	1173	4.4655799869999999	8		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3402	105250	1173	4.4031219479999999	8		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2505	105250	1173	4.1670031549999997	9		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3255	105250	1173	4.511414051	9		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3626	105250	1173	4.253011227	9		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3805	105250	1173	4.9750394819999997	9		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2637	105250	1173	4.8896265029999997	10		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3647	105250	1173	4.689320564	10		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3869	105250	1173	4.5195884700000004	10		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
4909	105250	1173	4.6865262989999996	10		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2529	106115	1369	4.2748851779999999	4		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3024	106115	1369	4.6844019890000004	6		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3578	106115	1369	3.8340096469999998	6		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
4978	106115	1369	4.8953657149999996	7		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2897	106115	1369	4.3884477620000002	8		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2918	106115	1369	4.915264606	8		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3409	106115	1369	4.8332395549999996	8		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3427	106682	1479	4.9469566350000003	6		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2782	107252	1595	4.586102962	5		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3034	107623	1665	5.189727306	9		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2647	107623	1665	4.7017998700000003	10		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3874	107623	1665	4.3577365879999999	10		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2500	109381	2027	4.9518609050000002	1		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2644	109381	2027	5.5454535480000002	1		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2922	109381	2027	6.1827511790000003	1		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3042	109381	2027	5.6699562070000002	1		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3629	109381	2027	4.8664088249999997	1		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3886	109381	2027	7.0002932549999999	1		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2506	109381	2027	5.324930191	2		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3450	109381	2027	5.7677640910000001	2		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2928	109381	2027	4.7428212170000004	3		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3029	109381	2027	5.6689076419999997	3		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3178	109381	2027	6.220612526	3		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3428	109381	2027	5.5679783819999997	3		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3438	109381	2027	6.5010633469999997	3		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3536	109381	2027	5.3870568280000004	3		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3548	109381	2027	5.6952018740000003	3		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3756	109381	2027	6.1044387819999999	3		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3808	109381	2027	5.771580696	3		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2744	109381	2027	5.4165678020000003	4		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2888	109381	2027	6.3512654299999998	4		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3179	109381	2027	5.330174446	4		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3354	109381	2027	5.1371207239999999	4		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3528	109381	2027	4.8099894519999999	4		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2772	109381	2027	5.422215939	5		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2878	109381	2027	5.7887787819999996	5		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2902	109381	2027	5.288043976	5		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3744	109381	2027	6.2232170099999999	5		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
4949	109381	2027	5.2717695239999998	5		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2760	109381	2027	4.9975590710000004	6		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3258	109381	2027	5.4901065830000002	6		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3609	109381	2027	5.196470261	6		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3673	109381	2027	4.7435803410000004	6		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3763	109381	2027	6.2446589469999996	6		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3766	109381	2027	4.813021183	6		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2900	109381	2027	4.891176701	7		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2540	109381	2027	5.800253391	7		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3025	109381	2027	4.9524421690000002	7		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3525	109381	2027	4.7662067410000004	7		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3568	109381	2027	5.6687755580000001	7		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3616	109381	2027	4.9902329439999997	7		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3751	109381	2027	5.8705248829999999	7		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2410	109381	2027	6.1148924830000002	8		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2884	109381	2027	4.8736824990000001	8		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3640	109381	2027	5.3428416250000001	8		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3682	109381	2027	4.535047531	8		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3825	109381	2027	4.8480916020000002	8		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
4992	109381	2027	7.0250515939999998	8		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3787	109381	2027	5.1079039570000004	9		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2537	109381	2027	4.7854647640000003	10		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3668	109381	2027	4.7313823700000004	10		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3771	109381	2027	4.5313611030000001	10		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3290	109929	2165	4.4950184819999999	1		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3645	109929	2165	5.4581208229999998	1		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2514	109929	2165	6.1288862230000003	2		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2517	109929	2165	5.243588924	2		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2868	109929	2165	5.0066356660000002	4		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2776	109929	2165	5.7197108270000001	5		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3818	109929	2165	4.5295085909999999	5		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
4965	109929	2165	4.5722756389999999	5		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2518	109929	2165	4.0990796090000003	7		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2746	109929	2165	5.4347081179999996	9		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3445	109929	2165	4.6266870500000001	9		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3399	109929	2165	5.3873357769999997	10		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3533	109929	2165	4.8867931369999997	10		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2920	110108	2212	4.846436024	6		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3058	110752	2360	4.9809041020000002	7		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3748	110752	2360	5.0873970990000004	9		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3775	113765	3031	4.2880029679999998	10		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2926	113860	3059	5.3579268459999998	5		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2885	114357	3172	4.7748365399999999	10		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3749	115985	3551	4.7998371119999996	1		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3089	115985	3551	4.6740016940000002	2		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3096	115985	3551	5.1396718029999997	2		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
4984	115985	3551	5.6860613820000001	3		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2516	115985	3551	5.3738684650000001	4		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2738	115985	3551	5.5989599229999998	4		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2902	115985	3551	5.3345603940000004	4		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3438	115985	3551	6.2061886790000003	4		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3568	115985	3551	5.7373886110000001	4		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3670	115985	3551	5.8604378700000002	4		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3865	115985	3551	5.0668396949999996	5		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3033	115985	3551	4.6098103520000002	7		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3056	115985	3551	4.5930347439999997	7		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3549	115985	3551	6.1731748580000003	7		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3648	115985	3551	6.4994559289999998	7		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3825	115985	3551	4.8909654619999996	7		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3178	115985	3551	5.756808758	9		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3289	115985	3551	3.9104464050000001	9		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3294	115985	3551	6.5820441250000004	10		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3507	115985	3551	6.058991432	10		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3744	115985	3551	6.0035257340000001	10		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3823	115985	3551	5.5127902029999998	10		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
4913	116403	3718	5.1543087959999996	1		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3415	116403	3718	4.35507679	2		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3498	116403	3718	4.305028439	4		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2651	116403	3718	5.2219524379999998	7		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3667	116403	3718	5.0541739459999997	10		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
4978	116403	3718	4.8168931009999998	10		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3735	116576	3794	5.7743082049999996	5		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3743	116576	3794	4.9368782040000001	5		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
