movieid	imdbid	director_women	director_nowhite	director_region	movie_region	movie_region_bra
61	tt0116260	0	0	0	0	0
62	tt0113862	0	0	0	0	0
63	tt0116126	0	1	0	0	0
64	tt0118002	0	0	0	0	0
65	tt0115683	0	0	0	0	0
66	tt0116839	0	0	1	1	0
67	tt0114753	0	0	0	0	0
68	tt0113149	1	0	0	0	0
69	tt0113118	0	1	0	0	0
70	tt0116367	0	0	0	0	0
71	tt0113010	0	0	0	0	0
72	tt0113537	0	0	0	0	0
73	tt0113828	0	0	0	0	0
74	tt0115644	0	0	0	0	0
75	tt0115676	0	0	0	0	0
76	tt0114367	0	0	0	1	0
77	tt0113973	1	0	0	0	0
78	tt0112744	0	0	1	0	0
79	tt0116731	0	0	0	0	0
80	tt0112445	0	0	1	1	0
81	tt0114660	0	0	0	0	0
82	tt0112379	1	0	0	0	0
83	tt0114039	0	1	0	0	0
84	tt0113612	0	0	0	0	0
85	tt0112365	0	0	0	0	0
86	tt0118158	0	0	0	0	0
87	tt0116151	0	0	0	0	0
88	tt0115697	1	0	0	0	0
89	tt0113972	0	0	0	0	0
90	tt0113490	0	0	1	0	0
92	tt0117002	0	0	0	0	0
93	tt0114825	0	0	0	0	0
94	tt0115639	0	0	0	0	0
95	tt0115759	0	1	1	0	0
96	tt0113403	0	0	0	0	0
97	tt0113247	0	0	0	0	0
98	tt0111173	0	0	0	1	0
99	tt0113283	0	0	0	0	0
100	tt0115907	0	0	0	0	0
101	tt0115734	0	0	0	0	0
102	tt0117102	0	0	0	0	0
103	tt0118040	0	0	0	0	0
104	tt0116483	0	0	0	0	0
105	tt0112579	0	0	0	0	0
106	tt0110251	1	0	1	0	0
107	tt0117110	0	0	0	0	0
108	tt0112646	0	0	0	0	0
109	tt0113276	0	0	0	0	0
110	tt0112573	0	0	0	0	0
111	tt0075314	0	0	0	0	0
112	tt0113326	0	1	1	1	0
113	tt0115645	0	0	0	0	0
114	tt0113774	0	0	1	0	0
115	tt0112556	0	0	0	0	0
116	tt0112373	0	0	1	0	0
117	tt0115033	0	0	0	0	0
118	tt0116606	0	0	0	0	0
119	tt0114536	0	0	0	0	0
120	tt0117427	0	0	0	0	0
121	tt0106473	0	0	0	0	0
122	tt0103859	0	1	0	0	0
123	tt0109424	0	1	1	1	0
124	tt0114808	0	0	0	0	0
125	tt0116324	0	0	0	0	0
126	tt0110647	0	0	0	0	0
127	tt0111055	1	0	1	1	0
128	tt0110217	0	0	0	0	0
129	tt0114131	0	0	0	0	0
130	tt0112364	1	0	0	0	0
131	tt0113107	0	0	0	0	0
132	tt0113451	0	0	0	0	0
133	tt0114015	0	0	1	0	0
134	tt0114500	0	0	0	0	0
135	tt0116130	0	0	0	0	0
136	tt0113125	0	0	0	0	0
137	tt0113756	0	0	0	0	0
138	tt0113952	0	0	0	0	0
139	tt0114618	0	1	1	1	0
140	tt0118055	0	0	0	0	0
141	tt0115685	0	0	0	0	0
142	tt0094878	0	0	0	0	0
143	tt0113200	0	0	0	0	0
144	tt0112585	0	0	0	0	0
145	tt0112442	0	0	0	0	0
146	tt0112342	0	0	0	0	0
147	tt0112461	0	0	0	0	0
148	tt0112427	0	0	1	0	0
149	tt0109093	0	0	0	0	0
150	tt0112384	0	0	0	0	0
151	tt0114287	0	0	0	0	0
152	tt0112288	0	0	0	0	0
153	tt0112462	0	0	0	0	0
154	tt0061395	0	0	1	0	0
155	tt0112495	0	0	0	0	0
156	tt0112541	0	1	0	0	0
157	tt0109370	0	0	0	0	0
158	tt0112642	0	0	0	0	0
159	tt0112688	0	1	0	0	0
160	tt0112715	0	0	0	0	0
161	tt0112740	0	0	0	0	0
162	tt0109508	0	0	0	0	0
163	tt0112851	0	0	0	0	0
164	tt0112857	0	1	0	0	0
165	tt0112864	0	0	0	0	0
166	tt0112887	0	1	1	0	0
167	tt0113044	0	0	0	0	0
168	tt0113071	0	0	0	0	0
169	tt0113114	0	0	0	0	0
170	tt0113243	0	0	0	0	0
171	tt0113464	0	0	0	0	0
172	tt0113481	0	0	0	0	0
173	tt0113492	0	0	0	0	0
174	tt0113500	0	0	1	0	0
175	tt0113540	0	0	0	0	0
176	tt0113677	0	0	0	0	0
177	tt0113690	0	0	0	0	0
178	tt0107447	0	0	0	0	0
179	tt0113729	1	0	0	0	0
180	tt0113749	0	0	0	0	0
181	tt0113820	0	0	0	1	0
182	tt0113851	0	0	0	0	0
183	tt0110604	0	0	0	0	0
184	tt0110620	0	0	0	0	0
185	tt0113957	0	0	0	0	0
186	tt0113986	0	0	0	0	0
187	tt0114095	1	0	0	0	0
188	tt0114194	0	0	0	0	0
189	tt0114241	0	0	0	0	0
190	tt0114323	0	0	0	0	0
191	tt0114345	0	0	0	0	0
192	tt0114435	0	0	0	0	0
193	tt0114436	0	0	0	0	0
194	tt0114478	0	1	0	1	0
195	tt0114496	0	0	1	0	0
196	tt0114508	0	0	1	0	0
197	tt0114534	0	0	0	0	0
198	tt0114558	1	0	0	0	0
199	tt0058450	0	0	0	0	0
200	tt0114666	0	0	0	0	0
201	tt0114663	1	0	0	0	0
202	tt0114702	1	0	0	0	0
203	tt0114682	1	0	0	0	0
204	tt0114781	0	0	1	0	0
205	tt0114798	1	0	0	0	0
206	tt0114805	0	0	0	0	0
207	tt0114887	0	0	1	0	0
208	tt0114898	0	0	0	0	0
209	tt0114928	0	1	0	0	0
210	tt0114938	0	0	0	0	0
211	tt0109340	0	0	0	0	0
212	tt0112602	0	0	0	0	0
213	tt0111579	0	0	0	0	0
214	tt0110882	0	0	0	0	0
215	tt0112471	0	0	0	0	0
216	tt0112508	1	0	0	0	0
217	tt0112438	0	0	0	0	0
218	tt0112571	0	0	0	0	0
219	tt0112757	0	0	0	0	0
220	tt0112643	0	0	0	0	0
222	tt0112679	0	0	0	0	0
223	tt0109445	0	0	0	0	0
224	tt0112883	0	0	0	0	0
225	tt0109635	0	0	0	0	0
226	tt0112899	0	0	0	0	0
227	tt0109676	0	0	0	0	0
228	tt0112854	0	0	0	0	0
229	tt0109579	0	0	0	0	0
230	tt0109642	0	0	0	0	0
231	tt0109686	0	0	0	0	0
232	tt0111797	0	1	1	1	0
233	tt0109759	0	0	0	0	0
234	tt0109758	0	0	0	0	0
235	tt0109707	0	0	0	0	0
236	tt0113117	0	0	0	0	0
237	tt0113097	0	0	0	0	0
238	tt0113028	0	0	0	0	0
239	tt0113198	0	0	0	1	0
240	tt0113303	0	0	0	0	0
241	tt0113089	0	0	0	0	0
242	tt0109771	0	0	0	0	0
243	tt0113199	0	0	0	0	0
244	tt0113234	0	0	0	0	0
245	tt0109906	0	1	0	0	0
246	tt0110057	0	0	0	0	0
247	tt0110005	0	0	1	1	0
248	tt0110066	0	0	0	0	0
249	tt0110116	0	0	0	0	0
250	tt0110006	0	0	0	0	0
251	tt0113360	0	0	0	0	0
252	tt0110099	0	0	1	0	0
253	tt0110148	0	0	0	0	0
254	tt0113463	0	0	0	0	0
255	tt0110189	0	0	0	0	0
256	tt0110216	0	0	0	0	0
257	tt0113501	0	0	0	0	0
258	tt0113538	0	0	0	0	0
259	tt0113552	0	0	0	0	0
260	tt0076759	0	0	0	0	0
261	tt0110367	1	0	1	0	0
262	tt0113670	0	0	1	0	0
263	tt0110296	0	0	0	0	0
264	tt0109731	0	0	0	0	0
265	tt0103994	0	0	1	0	0
266	tt0110322	0	0	0	0	0
267	tt0110443	0	0	0	0	0
268	tt0110365	0	0	0	0	0
269	tt0107566	1	0	0	0	0
270	tt0110391	0	0	0	0	0
271	tt0113691	0	0	0	0	0
272	tt0110428	0	0	0	0	0
273	tt0109836	0	0	0	1	0
274	tt0113755	0	0	0	0	0
275	tt0110538	1	0	0	0	0
276	tt0110516	0	0	0	0	0
277	tt0110527	0	0	0	0	0
278	tt0113808	0	0	0	0	0
279	tt0113896	0	1	0	0	0
280	tt0113870	0	0	0	0	0
281	tt0110684	0	0	0	0	0
282	tt0110638	0	0	0	0	0
283	tt0113967	0	0	0	0	0
284	tt0117169	0	1	1	1	0
285	tt0106402	0	0	0	0	0
286	tt0113948	0	1	0	0	0
287	tt0110671	0	0	0	0	0
288	tt0110632	0	0	0	0	0
289	tt0110737	0	0	0	0	0
290	tt0110729	0	1	1	1	0
292	tt0114069	0	0	0	0	0
293	tt0110413	0	0	0	0	0
294	tt0114113	1	1	1	0	0
295	tt0114210	0	0	0	0	0
296	tt0110912	0	0	0	0	0
297	tt0114084	0	1	0	0	0
298	tt0105652	0	1	1	1	0
299	tt0110889	1	0	0	0	0
300	tt0110932	0	0	0	0	0
301	tt0114129	1	0	1	1	0
302	tt0110963	0	0	0	0	0
303	tt0114214	0	0	0	1	0
304	tt0114296	0	0	0	0	0
305	tt0110907	0	0	0	0	0
306	tt0111495	0	0	0	0	0
307	tt0108394	0	0	0	0	0
308	tt0111507	0	0	0	0	0
309	tt0110769	0	1	1	1	0
310	tt0114268	0	0	1	0	0
311	tt0110965	0	0	0	0	0
312	tt0114571	0	0	0	0	0
313	tt0111333	0	0	0	1	0
314	tt0111112	0	0	0	0	0
315	tt0111255	0	0	1	1	0
316	tt0111282	0	0	0	0	0
317	tt0111070	0	0	0	0	0
318	tt0111161	0	0	0	0	0
319	tt0111149	0	0	0	0	0
320	tt0108260	0	0	0	0	0
321	tt0106966	0	0	1	0	0
322	tt0114594	0	1	1	0	0
324	tt0111309	0	0	1	1	0
325	tt0113936	0	0	1	0	0
326	tt0110081	0	1	1	1	0
327	tt0114614	1	0	0	0	0
328	tt0114608	0	1	0	0	0
329	tt0111280	0	0	0	0	0
330	tt0114609	0	1	0	0	0
331	tt0111454	0	0	0	0	0
332	tt0114852	0	0	0	0	0
333	tt0114694	0	0	0	0	0
334	tt0111590	0	0	0	0	0
335	tt0114788	0	0	0	0	0
336	tt0114888	0	1	0	0	0
337	tt0108550	0	0	1	0	0
338	tt0114857	0	0	0	0	0
339	tt0114924	0	0	0	0	0
340	tt0111667	0	0	0	0	0
341	tt0109655	1	1	0	0	0
342	tt0110598	0	0	1	1	0
343	tt0112435	1	0	0	0	0
344	tt0109040	0	0	0	0	0
345	tt0109045	0	0	1	1	0
346	tt0106339	0	0	0	0	0
347	tt0104779	0	0	0	0	0
348	tt0109348	0	0	0	0	0
349	tt0109444	0	0	1	0	0
350	tt0109446	0	0	0	0	0
351	tt0109484	1	0	0	0	0
352	tt0109504	0	1	0	0	0
353	tt0109506	0	0	1	0	0
354	tt0109450	0	0	0	0	0
355	tt0109813	0	0	0	0	0
356	tt0109830	0	0	0	0	0
357	tt0109831	0	0	1	0	0
358	tt0113305	0	1	0	0	0
359	tt0110091	1	1	0	0	0
360	tt0110093	0	0	0	0	0
361	tt0110167	0	0	0	0	0
362	tt0110213	0	0	0	0	0
363	tt0107472	0	0	1	0	0
364	tt0110357	0	0	0	0	0
365	tt0107426	0	0	0	0	0
366	tt0111686	0	0	0	0	0
367	tt0110475	0	0	0	0	0
368	tt0110478	0	0	0	0	0
369	tt0110588	0	0	0	0	0
370	tt0110622	0	0	0	0	0
371	tt0110771	0	0	0	0	0
372	tt0110950	0	0	0	0	0
373	tt0105226	0	0	0	0	0
374	tt0110989	0	0	0	0	0
375	tt0111054	0	0	0	0	0
376	tt0110997	0	0	0	0	0
377	tt0111257	0	0	0	0	0
378	tt0111256	0	0	0	0	0
379	tt0111438	0	0	0	1	0
380	tt0111503	0	0	0	0	0
381	tt0111693	0	0	1	0	0
382	tt0111742	0	0	0	0	0
383	tt0111756	0	0	0	0	0
384	tt0112443	0	0	0	0	0
385	tt0110455	0	1	1	0	0
386	tt0111048	0	0	0	0	0
387	tt0110399	0	1	0	0	0
388	tt0112570	0	0	0	0	0
389	tt0109454	0	0	0	0	0
390	tt0059170	0	0	0	0	0
391	tt0110186	0	0	1	0	0
392	tt0108069	0	0	0	0	0
393	tt0111301	0	0	0	1	0
394	tt0112702	0	0	0	0	0
395	tt0112849	0	0	0	0	0
396	tt0113014	0	0	1	0	0
397	tt0113043	0	0	0	0	0
398	tt0113104	0	0	0	0	0
399	tt0113173	0	0	1	0	0
400	tt0113319	0	0	0	0	0
401	tt0113827	0	0	0	0	0
402	tt0114047	0	0	0	0	0
403	tt0112889	0	0	1	0	0
404	tt0109339	0	1	1	0	0
405	tt0110027	0	0	0	0	0
406	tt0109785	0	0	0	0	0
407	tt0113409	0	0	0	0	0
408	tt0109021	0	0	0	0	0
409	tt0109035	0	0	0	0	0
410	tt0106220	0	0	0	0	0
411	tt0111804	0	0	0	0	0
412	tt0106226	0	0	0	0	0
413	tt0109068	0	0	0	0	0
414	tt0109067	0	0	0	1	0
415	tt0106292	0	0	0	0	0
416	tt0109198	0	0	0	0	0
417	tt0109219	0	0	0	0	0
418	tt0106379	0	0	0	1	0
419	tt0106400	1	0	0	0	0
420	tt0109254	0	0	0	0	0
421	tt0109279	1	0	0	0	0
422	tt0109297	0	0	0	0	0
423	tt0109303	0	0	0	0	0
424	tt0109305	0	0	0	0	0
425	tt0109306	0	0	0	0	0
426	tt0106452	0	0	0	0	0
427	tt0106471	1	0	0	0	0
428	tt0106489	0	0	1	0	0
429	tt0109361	0	0	0	0	0
430	tt0106505	0	0	0	0	0
431	tt0106519	0	0	0	0	0
432	tt0109439	0	0	0	0	0
433	tt0109443	0	0	0	0	0
434	tt0106582	0	0	1	1	0
435	tt0106598	0	0	0	0	0
436	tt0109456	0	0	0	0	0
437	tt0109480	0	0	0	0	0
438	tt0109493	0	0	0	0	0
439	tt0106660	0	0	0	0	0
440	tt0106673	0	0	0	0	0
441	tt0106677	0	0	0	0	0
442	tt0106697	0	0	0	0	0
443	tt0109729	0	0	0	0	0
444	tt0106834	0	0	0	0	0
445	tt0106873	0	0	0	0	0
446	tt0106332	0	1	1	1	0
447	tt0109783	0	0	0	0	0
448	tt0106881	0	0	1	0	0
449	tt0106880	0	1	0	0	0
450	tt0111732	0	0	0	0	0
451	tt0106926	0	0	0	0	0
452	tt0111712	0	0	0	0	0
453	tt0106941	0	0	0	0	0
454	tt0106918	0	0	0	0	0
455	tt0106965	0	0	1	0	0
456	tt0109842	0	0	0	0	0
457	tt0106977	0	0	0	0	0
458	tt0107004	0	0	0	0	0
459	tt0109890	0	0	1	1	0
460	tt0109891	0	0	0	0	0
461	tt0109913	1	0	0	0	0
462	tt0109920	0	0	1	1	0
463	tt0107057	0	0	0	0	0
464	tt0107076	0	1	1	0	0
465	tt0107096	0	0	0	0	0
466	tt0107144	0	0	0	0	0
467	tt0113674	1	0	0	0	0
468	tt0112966	0	0	0	0	0
469	tt0107151	0	0	0	0	0
470	tt0110064	0	0	1	0	0
471	tt0110074	0	0	0	0	0
472	tt0110097	0	0	0	0	0
473	tt0110123	0	0	0	0	0
474	tt0107206	0	0	0	0	0
475	tt0107207	0	0	0	0	0
476	tt0110137	0	1	0	0	0
477	tt0108551	0	0	0	0	0
478	tt0110197	0	0	0	0	0
479	tt0107286	0	0	0	1	0
480	tt0107290	0	0	0	0	0
481	tt0107302	0	0	0	0	0
482	tt0110265	0	0	0	0	0
483	tt0107322	0	0	0	0	0
484	tt0110305	0	0	0	0	0
485	tt0107362	0	0	0	0	0
486	tt0107413	0	0	0	0	0
487	tt0110353	0	0	1	1	0
488	tt0107468	0	0	0	0	0
489	tt0107478	0	0	0	0	0
490	tt0107497	0	0	0	0	0
491	tt0107501	0	0	0	0	0
492	tt0107507	0	0	0	0	0
493	tt0107554	0	1	0	0	0
494	tt0116253	0	0	0	0	0
495	tt0074102	0	1	1	1	0
496	tt0111689	0	0	0	0	0
497	tt0107616	0	0	0	0	0
498	tt0107611	0	0	0	0	0
499	tt0107613	0	0	0	0	0
500	tt0107614	0	0	0	0	0
501	tt0107653	0	0	0	0	0
502	tt0110657	0	0	0	0	0
503	tt0110649	0	0	0	0	0
504	tt0110678	0	0	0	0	0
505	tt0110687	0	0	0	0	0
506	tt0107756	1	0	0	0	0
507	tt0107808	0	0	0	0	0
508	tt0107818	0	0	0	0	0
509	tt0107822	1	0	1	1	0
510	tt0107840	0	1	0	0	0
511	tt0107889	0	0	0	0	0
512	tt0111003	0	0	0	0	0
513	tt0110939	0	0	0	0	0
514	tt0110955	0	0	0	0	0
515	tt0107943	0	0	0	0	0
516	tt0110971	1	0	0	0	0
517	tt0107969	0	0	0	0	0
518	tt0111001	0	0	0	0	0
519	tt0107978	0	0	0	0	0
520	tt0107977	0	0	0	0	0
521	tt0107983	0	0	0	0	0
522	tt0105275	0	0	1	1	0
523	tt0108000	0	0	0	0	0
524	tt0108002	0	0	0	0	0
525	tt0108026	0	0	0	0	0
526	tt0105032	0	0	0	0	0
527	tt0108052	0	0	0	0	0
528	tt0111094	0	0	0	0	0
529	tt0108065	0	0	0	0	0
530	tt0111102	0	0	0	0	0
531	tt0108071	1	0	0	0	0
532	tt0111127	0	0	0	0	0
533	tt0111143	0	0	1	0	0
534	tt0108101	0	0	0	0	0
535	tt0108122	0	0	0	0	0
536	tt0111194	0	0	0	0	0
537	tt0111201	0	0	1	1	0
538	tt0108149	0	0	1	0	0
539	tt0108160	1	0	0	0	0
540	tt0108162	0	0	1	0	0
541	tt0083658	0	0	0	1	0
542	tt0108186	0	0	1	0	0
543	tt0108174	0	0	0	0	0
544	tt0108238	0	0	0	0	0
546	tt0108255	0	0	1	1	0
547	tt0111323	0	1	0	0	0
548	tt0111400	0	0	0	1	0
549	tt0108328	0	0	1	0	0
550	tt0111418	0	0	0	0	0
551	tt0107688	0	0	0	0	0
552	tt0108333	0	0	0	0	0
553	tt0108358	0	0	0	0	0
554	tt0111488	0	0	0	0	0
555	tt0108399	0	0	0	0	0
556	tt0108515	0	0	0	0	0
558	tt0110763	0	0	1	1	0
559	tt0107779	0	0	0	0	0
560	tt0109226	1	0	1	0	0
561	tt0110259	0	0	0	0	0
562	tt0114906	0	0	0	0	0
563	tt0107002	0	0	0	0	0
564	tt0109403	0	0	0	0	0
565	tt0104029	0	0	1	0	0
566	tt0110623	0	0	0	0	0
567	tt0107315	0	0	1	0	0
568	tt0106408	1	1	0	0	0
569	tt0110363	0	0	0	0	0
570	tt0107349	0	0	0	0	0
571	tt0111709	0	0	0	0	0
572	tt0109828	1	0	0	0	0
573	tt0107225	1	0	1	0	0
574	tt0111252	0	0	0	0	0
575	tt0110366	1	0	0	0	0
576	tt0106878	0	0	0	0	0
577	tt0109120	0	0	1	0	0
579	tt0108059	0	0	0	0	0
580	tt0110892	0	0	0	0	0
581	tt0112651	0	0	0	0	0
582	tt0107642	0	0	0	0	0
583	tt0109382	0	0	0	0	0
584	tt0106678	1	0	1	1	0
585	tt0112572	1	0	0	0	0
586	tt0099785	0	0	0	0	0
587	tt0099653	0	0	0	0	0
588	tt0103639	0	0	0	0	0
589	tt0103064	0	0	0	0	0
590	tt0099348	0	0	0	0	0
591	tt0114706	0	0	0	0	0
592	tt0096895	0	0	0	0	0
593	tt0102926	0	0	0	0	0
594	tt0029583	0	0	0	0	0
595	tt0101414	0	0	0	1	0
596	tt0032910	0	0	0	0	0
597	tt0100405	0	0	0	0	0
598	tt0110719	0	0	0	0	0
599	tt0065214	0	0	0	0	0
600	tt0110395	0	0	0	0	0
601	tt0111752	0	1	1	1	0
602	tt0109934	1	0	0	0	0
603	tt0112606	0	0	0	0	0
604	tt0115978	0	0	0	0	0
605	tt0117247	0	0	0	0	0
606	tt0112625	0	0	0	0	0
607	tt0106537	0	0	0	0	0
608	tt0116282	0	0	0	0	0
609	tt0116552	0	0	0	0	0
610	tt0082509	0	0	0	0	0
611	tt0116514	0	0	0	0	0
612	tt0117283	0	0	0	0	0
613	tt0116684	0	0	0	0	0
614	tt0110374	1	0	1	1	0
615	tt0070506	0	0	0	0	0
616	tt0065421	0	0	0	0	0
617	tt0113083	0	0	1	0	0
618	tt0118001	0	0	0	0	0
619	tt0116165	0	0	0	0	0
620	tt0102855	0	0	0	1	0
621	tt0107471	0	0	0	0	0
623	tt0113839	0	0	0	0	0
625	tt0090665	0	0	1	1	0
626	tt0117891	0	1	0	0	0
627	tt0113613	1	0	0	0	0
628	tt0117381	0	0	0	0	0
629	tt0114305	0	1	0	0	0
630	tt0115837	0	0	1	0	0
631	tt0115509	0	0	0	1	0
632	tt0114671	0	0	0	0	0
633	tt0112844	0	0	0	0	0
634	tt0114658	0	0	0	0	0
635	tt0116275	0	0	0	0	0
636	tt0113122	0	0	0	0	0
637	tt0117608	0	0	0	0	0
638	tt0113448	0	0	0	0	0
639	tt0116414	0	1	0	0	0
640	tt0116095	0	0	0	0	0
641	tt0111543	0	0	0	0	0
642	tt0117517	0	0	1	0	0
643	tt0117312	0	0	0	0	0
644	tt0116485	0	0	0	0	0
645	tt0113947	0	0	0	0	0
647	tt0115956	0	0	0	0	0
648	tt0117060	0	0	0	0	0
649	tt0109028	0	0	1	1	0
650	tt0117071	0	0	0	0	0
651	tt0117788	0	0	1	0	0
652	tt0112257	0	1	1	1	0
653	tt0116136	0	0	0	0	0
654	tt0118026	0	0	0	0	0
655	tt0117117	0	0	0	0	0
656	tt0116168	0	0	1	0	0
657	tt0111787	0	0	1	1	0
658	tt0112509	0	0	1	1	0
659	tt0054189	0	0	0	0	0
660	tt0115591	0	0	0	0	0
661	tt0116683	0	0	0	0	0
662	tt0116287	0	0	0	0	0
663	tt0116768	0	0	1	0	0
664	tt0116269	0	0	0	0	0
665	tt0114787	0	0	0	0	0
666	tt0113720	0	0	0	0	0
667	tt0112536	0	1	1	0	0
668	tt0048473	0	1	1	1	0
670	tt0052572	0	1	1	1	0
671	tt0117128	0	0	1	0	0
672	tt0114616	1	0	1	0	0
673	tt0117705	0	0	0	0	0
674	tt0062711	0	0	0	0	0
675	tt0110061	1	0	1	0	0
676	tt0140614	0	0	1	0	0
678	tt0108181	0	0	0	0	0
679	tt0114307	0	0	0	0	0
680	tt0058898	0	0	0	0	0
681	tt0082206	0	0	0	0	0
682	tt0111430	0	0	1	1	1
683	tt0107727	0	0	0	0	0
684	tt0081759	0	0	0	0	0
685	tt0113443	0	0	0	0	0
687	tt0109491	0	0	0	1	0
688	tt0114048	0	0	1	0	0
690	tt0111613	1	0	0	0	0
691	tt0117104	0	0	0	0	0
692	tt0117688	0	0	0	0	0
693	tt0109751	0	0	1	1	0
694	tt0117774	0	0	0	0	0
695	tt0114736	1	0	1	0	0
696	tt0112604	0	0	0	0	0
697	tt0116289	0	0	0	0	0
698	tt0109593	0	0	0	0	0
699	tt0103095	0	0	1	0	0
700	tt0112368	0	0	0	0	0
701	tt0104046	0	0	0	0	0
702	tt0062952	0	0	0	0	0
703	tt0115742	1	0	0	0	0
704	tt0117420	0	0	0	0	0
705	tt0115951	0	0	1	1	0
706	tt0117784	0	0	0	0	0
707	tt0117107	0	1	1	0	0
708	tt0117979	0	0	0	0	0
709	tt0095776	0	0	1	0	0
710	tt0115851	0	0	0	0	0
711	tt0116322	0	0	0	0	0
712	tt0109374	1	0	1	0	0
713	tt0110712	1	0	0	1	0
714	tt0112817	0	0	0	1	0
715	tt0113362	0	0	0	0	0
716	tt0073778	0	0	0	0	0
717	tt0112546	0	0	1	0	0
718	tt0108500	0	0	0	0	0
719	tt0117108	0	0	0	0	0
720	tt0118114	0	0	1	0	0
721	tt0114103	0	0	0	0	0
722	tt0113270	0	0	0	0	0
723	tt0092123	1	0	1	1	0
724	tt0115963	0	0	0	0	0
725	tt0116448	0	1	0	0	0
726	tt0116827	0	0	1	0	0
727	tt0114894	1	0	1	1	0
728	tt0112701	0	0	0	0	0
729	tt0113429	0	0	0	1	0
730	tt0125877	0	0	0	0	0
731	tt0116508	0	0	0	0	0
732	tt0117260	0	0	0	0	0
733	tt0117500	0	0	0	0	0
734	tt0116405	0	0	0	0	0
735	tt0109592	0	0	0	0	0
736	tt0117998	0	0	0	0	0
737	tt0115624	0	0	1	0	0
738	tt0113145	0	0	0	0	0
739	tt0116559	0	0	1	0	0
741	tt0113568	0	1	1	1	0
742	tt0117894	0	0	0	0	0
743	tt0117723	0	0	0	0	0
744	tt0112586	0	1	1	0	0
745	tt0112691	0	0	0	0	0
746	tt0040366	0	0	0	0	0
747	tt0117768	0	0	0	0	0
748	tt0115571	0	0	0	0	0
749	tt0031612	0	0	0	0	0
750	tt0057012	0	0	0	0	0
751	tt0103926	0	0	0	0	0
752	tt0105737	0	0	1	0	0
753	tt0113849	0	0	0	0	0
754	tt0113188	0	0	0	0	0
755	tt0042644	0	0	0	0	0
756	tt0109381	1	0	1	1	1
757	tt0109688	0	1	1	1	0
758	tt0104606	0	0	1	1	0
759	tt0110480	1	0	0	0	0
760	tt0108211	0	0	0	0	0
761	tt0117331	0	0	1	1	0
762	tt0117765	0	0	0	0	0
763	tt0116833	0	0	0	0	0
764	tt0113280	0	0	0	0	0
765	tt0116669	0	0	0	0	0
766	tt0116594	1	0	0	0	0
767	tt0113211	0	0	0	0	0
768	tt0114494	0	0	0	0	0
769	tt0116992	0	0	0	0	0
770	tt0038426	0	0	1	0	0
771	tt0094265	0	1	1	1	0
772	tt0105201	0	1	1	1	0
773	tt0070820	0	1	1	1	0
774	tt0084898	0	1	1	1	0
775	tt0063715	0	0	0	0	0
776	tt0109191	0	0	0	0	0
777	tt0114122	0	0	0	0	0
778	tt0117951	0	0	0	0	0
779	tt0118523	0	0	0	0	0
780	tt0116629	0	0	0	0	0
781	tt0117737	0	0	0	0	0
782	tt0116277	0	0	0	0	0
783	tt0116583	0	0	0	0	0
784	tt0115798	0	0	0	0	0
785	tt0116778	0	0	0	0	0
786	tt0116213	0	0	0	0	0
787	tt0113147	0	0	1	0	0
788	tt0117218	0	0	0	0	0
